Notes,Infant Birth Weight 12,Infant Birth Weight 12 Code,County of Residence,County of Residence Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Year,Year Code,Births,Average Birth Weight (grams)
,2000 - 2499 grams,5,"Lake County, OH",39085,Not Hispanic or Latino,2186-5,2019,2019,94,2270.21
,2000 - 2499 grams,5,"Licking County, OH",39089,Not Hispanic or Latino,2186-5,2019,2019,85,2303.92
,2000 - 2499 grams,5,"Lorain County, OH",39093,Hispanic or Latino,2135-2,2019,2019,28,2286.36
,2000 - 2499 grams,5,"Lorain County, OH",39093,Not Hispanic or Latino,2186-5,2019,2019,121,2281.84
,2000 - 2499 grams,5,"Lucas County, OH",39095,Hispanic or Latino,2135-2,2019,2019,33,2306.79
,2000 - 2499 grams,5,"Lucas County, OH",39095,Not Hispanic or Latino,2186-5,2019,2019,280,2291.46
,2000 - 2499 grams,5,"Mahoning County, OH",39099,Hispanic or Latino,2135-2,2019,2019,15,2288.47
,2000 - 2499 grams,5,"Mahoning County, OH",39099,Not Hispanic or Latino,2186-5,2019,2019,148,2274.66
,2000 - 2499 grams,5,"Medina County, OH",39103,Not Hispanic or Latino,2186-5,2019,2019,76,2282.2
,2000 - 2499 grams,5,"Miami County, OH",39109,Not Hispanic or Latino,2186-5,2019,2019,55,2288.11
,2000 - 2499 grams,5,"Montgomery County, OH",39113,Hispanic or Latino,2135-2,2019,2019,12,2295.5
,2000 - 2499 grams,5,"Montgomery County, OH",39113,Not Hispanic or Latino,2186-5,2019,2019,342,2291.86
,2000 - 2499 grams,5,"Portage County, OH",39133,Not Hispanic or Latino,2186-5,2019,2019,53,2327.38
,2000 - 2499 grams,5,"Richland County, OH",39139,Not Hispanic or Latino,2186-5,2019,2019,55,2310.91
,2000 - 2499 grams,5,"Stark County, OH",39151,Not Hispanic or Latino,2186-5,2019,2019,205,2281.91
,2000 - 2499 grams,5,"Summit County, OH",39153,Hispanic or Latino,2135-2,2019,2019,10,2382
,2000 - 2499 grams,5,"Summit County, OH",39153,Not Hispanic or Latino,2186-5,2019,2019,330,2298.11
,2000 - 2499 grams,5,"Trumbull County, OH",39155,Not Hispanic or Latino,2186-5,2019,2019,117,2304.54
,2000 - 2499 grams,5,"Warren County, OH",39165,Not Hispanic or Latino,2186-5,2019,2019,111,2288.5
,2000 - 2499 grams,5,"Wayne County, OH",39169,Not Hispanic or Latino,2186-5,2019,2019,47,2325.45
,2000 - 2499 grams,5,"Wood County, OH",39173,Not Hispanic or Latino,2186-5,2019,2019,51,2295.75
,2000 - 2499 grams,5,"Unidentified Counties, OH",39999,Hispanic or Latino,2135-2,2019,2019,47,2336.68
,2000 - 2499 grams,5,"Unidentified Counties, OH",39999,Not Hispanic or Latino,2186-5,2019,2019,1402,2298.53
,2000 - 2499 grams,5,"Canadian County, OK",40017,Not Hispanic or Latino,2186-5,2019,2019,65,2275.05
,2000 - 2499 grams,5,"Cleveland County, OK",40027,Hispanic or Latino,2135-2,2019,2019,22,2258.5
,2000 - 2499 grams,5,"Cleveland County, OK",40027,Not Hispanic or Latino,2186-5,2019,2019,122,2304.82
,2000 - 2499 grams,5,"Comanche County, OK",40031,Hispanic or Latino,2135-2,2019,2019,12,2357.08
,2000 - 2499 grams,5,"Comanche County, OK",40031,Not Hispanic or Latino,2186-5,2019,2019,107,2290.44
,2000 - 2499 grams,5,"Oklahoma County, OK",40109,Hispanic or Latino,2135-2,2019,2019,141,2293.96
,2000 - 2499 grams,5,"Oklahoma County, OK",40109,Not Hispanic or Latino,2186-5,2019,2019,523,2287.79
,2000 - 2499 grams,5,"Tulsa County, OK",40143,Hispanic or Latino,2135-2,2019,2019,60,2303.5
,2000 - 2499 grams,5,"Tulsa County, OK",40143,Not Hispanic or Latino,2186-5,2019,2019,400,2297.36
,2000 - 2499 grams,5,"Unidentified Counties, OK",40999,Hispanic or Latino,2135-2,2019,2019,113,2332.07
,2000 - 2499 grams,5,"Unidentified Counties, OK",40999,Not Hispanic or Latino,2186-5,2019,2019,1007,2304.41
,2000 - 2499 grams,5,"Clackamas County, OR",41005,Hispanic or Latino,2135-2,2019,2019,13,2241.08
,2000 - 2499 grams,5,"Clackamas County, OR",41005,Not Hispanic or Latino,2186-5,2019,2019,157,2314.23
,2000 - 2499 grams,5,"Deschutes County, OR",41017,Hispanic or Latino,2135-2,2019,2019,16,2348.44
,2000 - 2499 grams,5,"Deschutes County, OR",41017,Not Hispanic or Latino,2186-5,2019,2019,81,2287.2
,2000 - 2499 grams,5,"Douglas County, OR",41019,Not Hispanic or Latino,2186-5,2019,2019,42,2310.57
,2000 - 2499 grams,5,"Jackson County, OR",41029,Hispanic or Latino,2135-2,2019,2019,22,2298.59
,2000 - 2499 grams,5,"Jackson County, OR",41029,Not Hispanic or Latino,2186-5,2019,2019,74,2309.04
,2000 - 2499 grams,5,"Lane County, OR",41039,Hispanic or Latino,2135-2,2019,2019,26,2342.88
,2000 - 2499 grams,5,"Lane County, OR",41039,Not Hispanic or Latino,2186-5,2019,2019,111,2288.73
,2000 - 2499 grams,5,"Linn County, OR",41043,Not Hispanic or Latino,2186-5,2019,2019,50,2313.26
,2000 - 2499 grams,5,"Marion County, OR",41047,Hispanic or Latino,2135-2,2019,2019,64,2294.42
,2000 - 2499 grams,5,"Marion County, OR",41047,Not Hispanic or Latino,2186-5,2019,2019,85,2290.91
,2000 - 2499 grams,5,"Multnomah County, OR",41051,Hispanic or Latino,2135-2,2019,2019,73,2300.9
,2000 - 2499 grams,5,"Multnomah County, OR",41051,Not Hispanic or Latino,2186-5,2019,2019,301,2293.93
,2000 - 2499 grams,5,"Washington County, OR",41067,Hispanic or Latino,2135-2,2019,2019,77,2312.23
,2000 - 2499 grams,5,"Washington County, OR",41067,Not Hispanic or Latino,2186-5,2019,2019,205,2306.68
,2000 - 2499 grams,5,"Unidentified Counties, OR",41999,Hispanic or Latino,2135-2,2019,2019,83,2310.1
,2000 - 2499 grams,5,"Unidentified Counties, OR",41999,Not Hispanic or Latino,2186-5,2019,2019,352,2307.06
,2000 - 2499 grams,5,"Adams County, PA",42001,Not Hispanic or Latino,2186-5,2019,2019,34,2289.38
,2000 - 2499 grams,5,"Allegheny County, PA",42003,Hispanic or Latino,2135-2,2019,2019,11,2339.27
,2000 - 2499 grams,5,"Allegheny County, PA",42003,Not Hispanic or Latino,2186-5,2019,2019,648,2295.88
,2000 - 2499 grams,5,"Beaver County, PA",42007,Not Hispanic or Latino,2186-5,2019,2019,60,2323.02
,2000 - 2499 grams,5,"Berks County, PA",42011,Hispanic or Latino,2135-2,2019,2019,99,2271.19
,2000 - 2499 grams,5,"Berks County, PA",42011,Not Hispanic or Latino,2186-5,2019,2019,132,2321.85
,2000 - 2499 grams,5,"Blair County, PA",42013,Not Hispanic or Latino,2186-5,2019,2019,56,2297.46
,2000 - 2499 grams,5,"Bucks County, PA",42017,Hispanic or Latino,2135-2,2019,2019,19,2361.58
,2000 - 2499 grams,5,"Bucks County, PA",42017,Not Hispanic or Latino,2186-5,2019,2019,248,2281.08
,2000 - 2499 grams,5,"Butler County, PA",42019,Not Hispanic or Latino,2186-5,2019,2019,75,2287.96
,2000 - 2499 grams,5,"Cambria County, PA",42021,Not Hispanic or Latino,2186-5,2019,2019,67,2270.52
,2000 - 2499 grams,5,"Centre County, PA",42027,Not Hispanic or Latino,2186-5,2019,2019,23,2252.3
,2000 - 2499 grams,5,"Chester County, PA",42029,Hispanic or Latino,2135-2,2019,2019,28,2336.46
,2000 - 2499 grams,5,"Chester County, PA",42029,Not Hispanic or Latino,2186-5,2019,2019,162,2306.62
,2000 - 2499 grams,5,"Cumberland County, PA",42041,Not Hispanic or Latino,2186-5,2019,2019,113,2302.64
,2000 - 2499 grams,5,"Dauphin County, PA",42043,Hispanic or Latino,2135-2,2019,2019,28,2249.79
,2000 - 2499 grams,5,"Dauphin County, PA",42043,Not Hispanic or Latino,2186-5,2019,2019,168,2314.51
,2000 - 2499 grams,5,"Delaware County, PA",42045,Hispanic or Latino,2135-2,2019,2019,10,2342.4
,2000 - 2499 grams,5,"Delaware County, PA",42045,Not Hispanic or Latino,2186-5,2019,2019,303,2297.67
,2000 - 2499 grams,5,"Delaware County, PA",42045,Unknown or Not Stated,9,2019,2019,20,2280.55
,2000 - 2499 grams,5,"Erie County, PA",42049,Hispanic or Latino,2135-2,2019,2019,22,2337.68
,2000 - 2499 grams,5,"Erie County, PA",42049,Not Hispanic or Latino,2186-5,2019,2019,149,2309.03
,2000 - 2499 grams,5,"Fayette County, PA",42051,Not Hispanic or Latino,2186-5,2019,2019,69,2300.12
,2000 - 2499 grams,5,"Franklin County, PA",42055,Hispanic or Latino,2135-2,2019,2019,11,2290.91
,2000 - 2499 grams,5,"Franklin County, PA",42055,Not Hispanic or Latino,2186-5,2019,2019,64,2275.75
,2000 - 2499 grams,5,"Lackawanna County, PA",42069,Hispanic or Latino,2135-2,2019,2019,15,2317.4
,2000 - 2499 grams,5,"Lackawanna County, PA",42069,Not Hispanic or Latino,2186-5,2019,2019,89,2313.89
,2000 - 2499 grams,5,"Lancaster County, PA",42071,Hispanic or Latino,2135-2,2019,2019,59,2288.75
,2000 - 2499 grams,5,"Lancaster County, PA",42071,Not Hispanic or Latino,2186-5,2019,2019,236,2299.69
,2000 - 2499 grams,5,"Lebanon County, PA",42075,Hispanic or Latino,2135-2,2019,2019,25,2315.08
,2000 - 2499 grams,5,"Lebanon County, PA",42075,Not Hispanic or Latino,2186-5,2019,2019,74,2299.93
,2000 - 2499 grams,5,"Lehigh County, PA",42077,Hispanic or Latino,2135-2,2019,2019,109,2285.82
,2000 - 2499 grams,5,"Lehigh County, PA",42077,Not Hispanic or Latino,2186-5,2019,2019,115,2291.17
,2000 - 2499 grams,5,"Luzerne County, PA",42079,Hispanic or Latino,2135-2,2019,2019,31,2315.81
,2000 - 2499 grams,5,"Luzerne County, PA",42079,Not Hispanic or Latino,2186-5,2019,2019,132,2319.07
,2000 - 2499 grams,5,"Lycoming County, PA",42081,Not Hispanic or Latino,2186-5,2019,2019,61,2301
,2000 - 2499 grams,5,"Mercer County, PA",42085,Not Hispanic or Latino,2186-5,2019,2019,63,2307.1
,2000 - 2499 grams,5,"Monroe County, PA",42089,Hispanic or Latino,2135-2,2019,2019,22,2336.41
,2000 - 2499 grams,5,"Monroe County, PA",42089,Not Hispanic or Latino,2186-5,2019,2019,62,2304.97
,2000 - 2499 grams,5,"Montgomery County, PA",42091,Hispanic or Latino,2135-2,2019,2019,34,2334.44
,2000 - 2499 grams,5,"Montgomery County, PA",42091,Not Hispanic or Latino,2186-5,2019,2019,367,2292.81
,2000 - 2499 grams,5,"Northampton County, PA",42095,Hispanic or Latino,2135-2,2019,2019,40,2281.57
,2000 - 2499 grams,5,"Northampton County, PA",42095,Not Hispanic or Latino,2186-5,2019,2019,104,2312.79
,2000 - 2499 grams,5,"Philadelphia County, PA",42101,Hispanic or Latino,2135-2,2019,2019,273,2290.01
,2000 - 2499 grams,5,"Philadelphia County, PA",42101,Not Hispanic or Latino,2186-5,2019,2019,1098,2295.49
,2000 - 2499 grams,5,"Philadelphia County, PA",42101,Unknown or Not Stated,9,2019,2019,65,2264
,2000 - 2499 grams,5,"Schuylkill County, PA",42107,Not Hispanic or Latino,2186-5,2019,2019,54,2308.24
,2000 - 2499 grams,5,"Washington County, PA",42125,Not Hispanic or Latino,2186-5,2019,2019,93,2275.31
,2000 - 2499 grams,5,"Westmoreland County, PA",42129,Not Hispanic or Latino,2186-5,2019,2019,141,2281.72
,2000 - 2499 grams,5,"York County, PA",42133,Hispanic or Latino,2135-2,2019,2019,52,2302.42
,2000 - 2499 grams,5,"York County, PA",42133,Not Hispanic or Latino,2186-5,2019,2019,229,2283.83
,2000 - 2499 grams,5,"Unidentified Counties, PA",42999,Hispanic or Latino,2135-2,2019,2019,24,2309.04
,2000 - 2499 grams,5,"Unidentified Counties, PA",42999,Not Hispanic or Latino,2186-5,2019,2019,756,2304.38
,2000 - 2499 grams,5,"Kent County, RI",44003,Hispanic or Latino,2135-2,2019,2019,10,2292.4
,2000 - 2499 grams,5,"Kent County, RI",44003,Not Hispanic or Latino,2186-5,2019,2019,57,2304.28
,2000 - 2499 grams,5,"Providence County, RI",44007,Hispanic or Latino,2135-2,2019,2019,141,2300.16
,2000 - 2499 grams,5,"Providence County, RI",44007,Not Hispanic or Latino,2186-5,2019,2019,234,2298.01
,2000 - 2499 grams,5,"Washington County, RI",44009,Not Hispanic or Latino,2186-5,2019,2019,27,2311.19
,2000 - 2499 grams,5,"Unidentified Counties, RI",44999,Not Hispanic or Latino,2186-5,2019,2019,40,2302.78
,2000 - 2499 grams,5,"Aiken County, SC",45003,Not Hispanic or Latino,2186-5,2019,2019,119,2284.35
,2000 - 2499 grams,5,"Anderson County, SC",45007,Not Hispanic or Latino,2186-5,2019,2019,120,2287.51
,2000 - 2499 grams,5,"Beaufort County, SC",45013,Hispanic or Latino,2135-2,2019,2019,26,2334.35
,2000 - 2499 grams,5,"Beaufort County, SC",45013,Not Hispanic or Latino,2186-5,2019,2019,81,2322.23
,2000 - 2499 grams,5,"Berkeley County, SC",45015,Hispanic or Latino,2135-2,2019,2019,15,2244.4
,2000 - 2499 grams,5,"Berkeley County, SC",45015,Not Hispanic or Latino,2186-5,2019,2019,150,2301.61
,2000 - 2499 grams,5,"Charleston County, SC",45019,Hispanic or Latino,2135-2,2019,2019,26,2323.12
,2000 - 2499 grams,5,"Charleston County, SC",45019,Not Hispanic or Latino,2186-5,2019,2019,260,2289.22
,2000 - 2499 grams,5,"Dorchester County, SC",45035,Not Hispanic or Latino,2186-5,2019,2019,98,2306.45
,2000 - 2499 grams,5,"Florence County, SC",45041,Not Hispanic or Latino,2186-5,2019,2019,123,2315.82
,2000 - 2499 grams,5,"Greenville County, SC",45045,Hispanic or Latino,2135-2,2019,2019,46,2300.22
,2000 - 2499 grams,5,"Greenville County, SC",45045,Not Hispanic or Latino,2186-5,2019,2019,284,2289.07
,2000 - 2499 grams,5,"Horry County, SC",45051,Hispanic or Latino,2135-2,2019,2019,16,2387.38
,2000 - 2499 grams,5,"Horry County, SC",45051,Not Hispanic or Latino,2186-5,2019,2019,146,2297.18
,2000 - 2499 grams,5,"Lexington County, SC",45063,Hispanic or Latino,2135-2,2019,2019,11,2333.18
,2000 - 2499 grams,5,"Lexington County, SC",45063,Not Hispanic or Latino,2186-5,2019,2019,148,2307.51
,2000 - 2499 grams,5,"Pickens County, SC",45077,Not Hispanic or Latino,2186-5,2019,2019,50,2309.48
,2000 - 2499 grams,5,"Richland County, SC",45079,Hispanic or Latino,2135-2,2019,2019,26,2291.69
,2000 - 2499 grams,5,"Richland County, SC",45079,Not Hispanic or Latino,2186-5,2019,2019,290,2313.25
,2000 - 2499 grams,5,"Spartanburg County, SC",45083,Hispanic or Latino,2135-2,2019,2019,22,2329.45
,2000 - 2499 grams,5,"Spartanburg County, SC",45083,Not Hispanic or Latino,2186-5,2019,2019,213,2307.38
,2000 - 2499 grams,5,"Sumter County, SC",45085,Not Hispanic or Latino,2186-5,2019,2019,99,2318.06
,2000 - 2499 grams,5,"York County, SC",45091,Hispanic or Latino,2135-2,2019,2019,11,2278.45
,2000 - 2499 grams,5,"York County, SC",45091,Not Hispanic or Latino,2186-5,2019,2019,176,2297.03
,2000 - 2499 grams,5,"Unidentified Counties, SC",45999,Hispanic or Latino,2135-2,2019,2019,30,2336.9
,2000 - 2499 grams,5,"Unidentified Counties, SC",45999,Not Hispanic or Latino,2186-5,2019,2019,804,2317.99
,2000 - 2499 grams,5,"Minnehaha County, SD",46099,Not Hispanic or Latino,2186-5,2019,2019,116,2294.11
,2000 - 2499 grams,5,"Pennington County, SD",46103,Hispanic or Latino,2135-2,2019,2019,12,2356.08
,2000 - 2499 grams,5,"Pennington County, SD",46103,Not Hispanic or Latino,2186-5,2019,2019,71,2266.14
,2000 - 2499 grams,5,"Unidentified Counties, SD",46999,Hispanic or Latino,2135-2,2019,2019,13,2373.69
,2000 - 2499 grams,5,"Unidentified Counties, SD",46999,Not Hispanic or Latino,2186-5,2019,2019,286,2292.68
,2000 - 2499 grams,5,"Blount County, TN",47009,Not Hispanic or Latino,2186-5,2019,2019,57,2297.88
,2000 - 2499 grams,5,"Davidson County, TN",47037,Hispanic or Latino,2135-2,2019,2019,91,2311.43
,2000 - 2499 grams,5,"Davidson County, TN",47037,Not Hispanic or Latino,2186-5,2019,2019,460,2301.82
,2000 - 2499 grams,5,"Hamilton County, TN",47065,Hispanic or Latino,2135-2,2019,2019,26,2304.73
,2000 - 2499 grams,5,"Hamilton County, TN",47065,Not Hispanic or Latino,2186-5,2019,2019,211,2295.1
,2000 - 2499 grams,5,"Knox County, TN",47093,Hispanic or Latino,2135-2,2019,2019,19,2272.89
,2000 - 2499 grams,5,"Knox County, TN",47093,Not Hispanic or Latino,2186-5,2019,2019,253,2307.64
,2000 - 2499 grams,5,"Montgomery County, TN",47125,Hispanic or Latino,2135-2,2019,2019,23,2284.52
,2000 - 2499 grams,5,"Montgomery County, TN",47125,Not Hispanic or Latino,2186-5,2019,2019,178,2278.38
,2000 - 2499 grams,5,"Rutherford County, TN",47149,Hispanic or Latino,2135-2,2019,2019,36,2295.92
,2000 - 2499 grams,5,"Rutherford County, TN",47149,Not Hispanic or Latino,2186-5,2019,2019,178,2319.45
,2000 - 2499 grams,5,"Shelby County, TN",47157,Hispanic or Latino,2135-2,2019,2019,65,2300.35
,2000 - 2499 grams,5,"Shelby County, TN",47157,Not Hispanic or Latino,2186-5,2019,2019,838,2294.01
,2000 - 2499 grams,5,"Sullivan County, TN",47163,Not Hispanic or Latino,2186-5,2019,2019,77,2317.92
,2000 - 2499 grams,5,"Sumner County, TN",47165,Hispanic or Latino,2135-2,2019,2019,18,2252.56
,2000 - 2499 grams,5,"Sumner County, TN",47165,Not Hispanic or Latino,2186-5,2019,2019,102,2269.91
,2000 - 2499 grams,5,"Washington County, TN",47179,Not Hispanic or Latino,2186-5,2019,2019,64,2329.52
,2000 - 2499 grams,5,"Williamson County, TN",47187,Not Hispanic or Latino,2186-5,2019,2019,90,2310.26
,2000 - 2499 grams,5,"Wilson County, TN",47189,Not Hispanic or Latino,2186-5,2019,2019,85,2281.96
,2000 - 2499 grams,5,"Unidentified Counties, TN",47999,Hispanic or Latino,2135-2,2019,2019,108,2309.31
,2000 - 2499 grams,5,"Unidentified Counties, TN",47999,Not Hispanic or Latino,2186-5,2019,2019,1634,2305.1
,2000 - 2499 grams,5,"Bell County, TX",48027,Hispanic or Latino,2135-2,2019,2019,76,2310.18
,2000 - 2499 grams,5,"Bell County, TX",48027,Not Hispanic or Latino,2186-5,2019,2019,264,2298.17
,2000 - 2499 grams,5,"Bexar County, TX",48029,Hispanic or Latino,2135-2,2019,2019,976,2297.44
,2000 - 2499 grams,5,"Bexar County, TX",48029,Not Hispanic or Latino,2186-5,2019,2019,538,2295.87
,2000 - 2499 grams,5,"Brazoria County, TX",48039,Hispanic or Latino,2135-2,2019,2019,73,2327.26
,2000 - 2499 grams,5,"Brazoria County, TX",48039,Not Hispanic or Latino,2186-5,2019,2019,191,2311.64
,2000 - 2499 grams,5,"Brazos County, TX",48041,Hispanic or Latino,2135-2,2019,2019,39,2262.44
,2000 - 2499 grams,5,"Brazos County, TX",48041,Not Hispanic or Latino,2186-5,2019,2019,85,2298.78
,2000 - 2499 grams,5,"Cameron County, TX",48061,Hispanic or Latino,2135-2,2019,2019,291,2321.29
,2000 - 2499 grams,5,"Cameron County, TX",48061,Not Hispanic or Latino,2186-5,2019,2019,48,2271.85
,2000 - 2499 grams,5,"Collin County, TX",48085,Hispanic or Latino,2135-2,2019,2019,74,2298.97
,2000 - 2499 grams,5,"Collin County, TX",48085,Not Hispanic or Latino,2186-5,2019,2019,444,2306.04
,2000 - 2499 grams,5,"Comal County, TX",48091,Hispanic or Latino,2135-2,2019,2019,35,2343.86
,2000 - 2499 grams,5,"Comal County, TX",48091,Not Hispanic or Latino,2186-5,2019,2019,43,2307.84
,2000 - 2499 grams,5,"Dallas County, TX",48113,Hispanic or Latino,2135-2,2019,2019,808,2289.51
,2000 - 2499 grams,5,"Dallas County, TX",48113,Not Hispanic or Latino,2186-5,2019,2019,1217,2305.53
,2000 - 2499 grams,5,"Denton County, TX",48121,Hispanic or Latino,2135-2,2019,2019,110,2295.96
,2000 - 2499 grams,5,"Denton County, TX",48121,Not Hispanic or Latino,2186-5,2019,2019,373,2295.08
,2000 - 2499 grams,5,"Ector County, TX",48135,Hispanic or Latino,2135-2,2019,2019,130,2317.06
,2000 - 2499 grams,5,"Ector County, TX",48135,Not Hispanic or Latino,2186-5,2019,2019,64,2321.22
,2000 - 2499 grams,5,"Ellis County, TX",48139,Hispanic or Latino,2135-2,2019,2019,38,2286
,2000 - 2499 grams,5,"Ellis County, TX",48139,Not Hispanic or Latino,2186-5,2019,2019,67,2302.91
,2000 - 2499 grams,5,"El Paso County, TX",48141,Hispanic or Latino,2135-2,2019,2019,555,2315.93
,2000 - 2499 grams,5,"El Paso County, TX",48141,Not Hispanic or Latino,2186-5,2019,2019,112,2340.92
,2000 - 2499 grams,5,"Fort Bend County, TX",48157,Hispanic or Latino,2135-2,2019,2019,120,2307.96
,2000 - 2499 grams,5,"Fort Bend County, TX",48157,Not Hispanic or Latino,2186-5,2019,2019,398,2302.42
,2000 - 2499 grams,5,"Galveston County, TX",48167,Hispanic or Latino,2135-2,2019,2019,66,2286.88
,2000 - 2499 grams,5,"Galveston County, TX",48167,Not Hispanic or Latino,2186-5,2019,2019,146,2302.7
,2000 - 2499 grams,5,"Grayson County, TX",48181,Hispanic or Latino,2135-2,2019,2019,17,2304.06
,2000 - 2499 grams,5,"Grayson County, TX",48181,Not Hispanic or Latino,2186-5,2019,2019,48,2315.65
,2000 - 2499 grams,5,"Gregg County, TX",48183,Hispanic or Latino,2135-2,2019,2019,21,2211.29
,2000 - 2499 grams,5,"Gregg County, TX",48183,Not Hispanic or Latino,2186-5,2019,2019,66,2318.91
,2000 - 2499 grams,5,"Guadalupe County, TX",48187,Hispanic or Latino,2135-2,2019,2019,34,2284.59
,2000 - 2499 grams,5,"Guadalupe County, TX",48187,Not Hispanic or Latino,2186-5,2019,2019,58,2303.97
,2000 - 2499 grams,5,"Harris County, TX",48201,Hispanic or Latino,2135-2,2019,2019,1602,2302.78
,2000 - 2499 grams,5,"Harris County, TX",48201,Not Hispanic or Latino,2186-5,2019,2019,2117,2302.05
,2000 - 2499 grams,5,"Hays County, TX",48209,Hispanic or Latino,2135-2,2019,2019,70,2306.3
,2000 - 2499 grams,5,"Hays County, TX",48209,Not Hispanic or Latino,2186-5,2019,2019,53,2291.36
,2000 - 2499 grams,5,"Hidalgo County, TX",48215,Hispanic or Latino,2135-2,2019,2019,807,2312.95
,2000 - 2499 grams,5,"Hidalgo County, TX",48215,Not Hispanic or Latino,2186-5,2019,2019,30,2338.3
,2000 - 2499 grams,5,"Jefferson County, TX",48245,Hispanic or Latino,2135-2,2019,2019,58,2297.53
,2000 - 2499 grams,5,"Jefferson County, TX",48245,Not Hispanic or Latino,2186-5,2019,2019,150,2302.29
,2000 - 2499 grams,5,"Johnson County, TX",48251,Hispanic or Latino,2135-2,2019,2019,33,2308.85
,2000 - 2499 grams,5,"Johnson County, TX",48251,Not Hispanic or Latino,2186-5,2019,2019,55,2292.04
,2000 - 2499 grams,5,"Kaufman County, TX",48257,Hispanic or Latino,2135-2,2019,2019,21,2328.38
,2000 - 2499 grams,5,"Kaufman County, TX",48257,Not Hispanic or Latino,2186-5,2019,2019,83,2305.33
,2000 - 2499 grams,5,"Lubbock County, TX",48303,Hispanic or Latino,2135-2,2019,2019,95,2318.57
,2000 - 2499 grams,5,"Lubbock County, TX",48303,Not Hispanic or Latino,2186-5,2019,2019,127,2282.83
,2000 - 2499 grams,5,"McLennan County, TX",48309,Hispanic or Latino,2135-2,2019,2019,70,2302.47
,2000 - 2499 grams,5,"McLennan County, TX",48309,Not Hispanic or Latino,2186-5,2019,2019,126,2318.11
,2000 - 2499 grams,5,"Midland County, TX",48329,Hispanic or Latino,2135-2,2019,2019,64,2311.36
,2000 - 2499 grams,5,"Midland County, TX",48329,Not Hispanic or Latino,2186-5,2019,2019,88,2296.76
,2000 - 2499 grams,5,"Montgomery County, TX",48339,Hispanic or Latino,2135-2,2019,2019,100,2290.77
,2000 - 2499 grams,5,"Montgomery County, TX",48339,Not Hispanic or Latino,2186-5,2019,2019,261,2286.52
,2000 - 2499 grams,5,"Nueces County, TX",48355,Hispanic or Latino,2135-2,2019,2019,172,2300.19
,2000 - 2499 grams,5,"Nueces County, TX",48355,Not Hispanic or Latino,2186-5,2019,2019,71,2316.41
,2000 - 2499 grams,5,"Parker County, TX",48367,Hispanic or Latino,2135-2,2019,2019,17,2305.24
,2000 - 2499 grams,5,"Parker County, TX",48367,Not Hispanic or Latino,2186-5,2019,2019,53,2302.11
,2000 - 2499 grams,5,"Potter County, TX",48375,Hispanic or Latino,2135-2,2019,2019,47,2322.81
,2000 - 2499 grams,5,"Potter County, TX",48375,Not Hispanic or Latino,2186-5,2019,2019,56,2326.18
,2000 - 2499 grams,5,"Randall County, TX",48381,Hispanic or Latino,2135-2,2019,2019,21,2315.67
,2000 - 2499 grams,5,"Randall County, TX",48381,Not Hispanic or Latino,2186-5,2019,2019,43,2320.53
,2000 - 2499 grams,5,"Smith County, TX",48423,Hispanic or Latino,2135-2,2019,2019,45,2294.6
,2000 - 2499 grams,5,"Smith County, TX",48423,Not Hispanic or Latino,2186-5,2019,2019,110,2286.02
,2000 - 2499 grams,5,"Tarrant County, TX",48439,Hispanic or Latino,2135-2,2019,2019,506,2301.36
,2000 - 2499 grams,5,"Tarrant County, TX",48439,Not Hispanic or Latino,2186-5,2019,2019,1026,2302.47
,2000 - 2499 grams,5,"Taylor County, TX",48441,Hispanic or Latino,2135-2,2019,2019,34,2301.65
,2000 - 2499 grams,5,"Taylor County, TX",48441,Not Hispanic or Latino,2186-5,2019,2019,84,2296.56
,2000 - 2499 grams,5,"Tom Green County, TX",48451,Hispanic or Latino,2135-2,2019,2019,38,2348.95
,2000 - 2499 grams,5,"Tom Green County, TX",48451,Not Hispanic or Latino,2186-5,2019,2019,59,2267.25
,2000 - 2499 grams,5,"Travis County, TX",48453,Hispanic or Latino,2135-2,2019,2019,272,2298.17
,2000 - 2499 grams,5,"Travis County, TX",48453,Not Hispanic or Latino,2186-5,2019,2019,439,2302.44
,2000 - 2499 grams,5,"Webb County, TX",48479,Hispanic or Latino,2135-2,2019,2019,228,2314.51
,2000 - 2499 grams,5,"Wichita County, TX",48485,Hispanic or Latino,2135-2,2019,2019,23,2334.57
,2000 - 2499 grams,5,"Wichita County, TX",48485,Not Hispanic or Latino,2186-5,2019,2019,59,2301.39
,2000 - 2499 grams,5,"Williamson County, TX",48491,Hispanic or Latino,2135-2,2019,2019,89,2274.28
,2000 - 2499 grams,5,"Williamson County, TX",48491,Not Hispanic or Latino,2186-5,2019,2019,220,2304.96
,2000 - 2499 grams,5,"Unidentified Counties, TX",48999,Hispanic or Latino,2135-2,2019,2019,1212,2304.16
,2000 - 2499 grams,5,"Unidentified Counties, TX",48999,Not Hispanic or Latino,2186-5,2019,2019,1801,2305.68
,2000 - 2499 grams,5,"Cache County, UT",49005,Hispanic or Latino,2135-2,2019,2019,14,2315.93
,2000 - 2499 grams,5,"Cache County, UT",49005,Not Hispanic or Latino,2186-5,2019,2019,73,2276.73
,2000 - 2499 grams,5,"Davis County, UT",49011,Hispanic or Latino,2135-2,2019,2019,34,2347.24
,2000 - 2499 grams,5,"Davis County, UT",49011,Not Hispanic or Latino,2186-5,2019,2019,190,2282.55
